Pays,Genre,Age,Desabonnement,CreditScore,Ancienneté,Balance,NbrDeProduit,CarteDeCredit,MembreActif,SalaireEstimé
France,Male,29,0,769,8,0,2,1,1,172291
Spain,Male,42,0,730,4,0,2,0,1,85982
Spain,Male,35,0,515,10,176274,1,0,1,121278
Spain,Male,41,0,773,9,102827,1,0,1,64595
Germany,Male,29,0,814,8,97086,2,1,1,197276
Spain,Male,22,0,710,8,0,2,0,0,99645
France,Male,34,0,413,9,0,2,0,0,6534
France,Female,40,0,665,6,0,1,1,1,161848
France,Female,44,0,623,6,0,2,0,0,167162
France,Male,31,0,738,9,82674,1,1,0,41971
Spain,Male,36,0,528,7,0,2,1,0,60537
Spain,Female,65,1,670,1,0,1,1,1,177656
Spain,Female,46,1,622,4,107073,2,1,1,30985
Germany,Male,32,0,582,1,88939,1,1,1,10055
Germany,Female,36,0,785,2,99807,1,0,1,36977
Spain,Male,33,0,605,5,150093,1,0,0,71863
Germany,Male,35,1,479,9,92834,1,1,0,99450
Germany,Male,30,0,685,3,90537,1,0,1,63083
Germany,Male,39,0,538,7,108055,2,1,0,27231
France,Male,42,0,562,2,100238,1,0,0,86797
Spain,Male,36,0,675,9,106191,1,0,1,22994
Germany,Male,28,1,721,9,154476,2,0,1,101301
Germany,Female,30,0,628,9,132351,2,1,1,74169
Germany,Female,37,0,668,6,167864,1,1,0,115638
France,Female,41,0,506,1,0,2,1,0,31766
Germany,Female,31,1,524,8,107819,1,1,0,199725
Germany,Male,34,0,699,4,185174,2,1,0,120834
France,Male,34,0,828,8,129433,2,0,0,38132
Spain,Male,39,0,674,6,120193,1,0,0,100131
France,Female,39,0,656,6,0,2,1,0,141070
Germany,Female,48,0,684,10,126384,1,1,1,198129
France,Female,28,0,625,3,0,1,0,0,183646
France,Male,42,1,432,9,152603,1,1,0,110265
France,Female,52,1,549,1,0,1,0,1,8636
Germany,Male,56,1,625,0,148507,1,1,0,46824
France,Female,41,0,828,7,0,2,1,0,171379
France,Male,24,0,770,9,101827,1,1,0,167256
France,Female,34,0,758,3,0,2,1,1,124226
Germany,Female,33,0,795,9,130862,1,1,1,114935
France,Male,38,0,687,9,122571,1,1,1,35609
France,Male,25,0,686,1,0,2,0,1,16459
Germany,Male,39,0,789,7,124828,2,1,1,124411
Germany,Female,50,0,589,5,144895,2,1,1,34941
Germany,Female,34,0,461,5,63664,1,0,1,167784
France,Male,40,0,637,2,133463,1,0,1,93165
Spain,Female,48,1,584,2,213146,1,1,0,75161
Spain,Female,35,1,579,1,129490,2,0,1,8591
Germany,Male,44,0,756,10,137452,1,1,0,189544
France,Male,34,0,663,7,0,2,1,1,180427
France,Female,43,0,682,5,125852,1,1,1,193318
Spain,Male,52,1,793,2,0,1,1,0,159124
France,Female,31,1,691,5,40916,1,1,0,126214
Spain,Female,21,0,485,5,113157,1,1,1,54142
Spain,Female,29,0,635,8,138297,2,1,0,141076
France,Male,37,0,650,5,106967,1,0,0,24495
France,Male,44,0,735,9,120682,1,1,0,74836
France,Male,32,0,416,0,0,2,0,1,879
Spain,Female,32,0,754,7,0,2,1,0,89521
France,Female,48,1,535,9,0,1,1,0,149893
Spain,Male,42,0,716,8,0,2,1,0,180800
France,Male,37,0,539,2,127610,1,1,0,98646
France,Female,43,0,614,6,0,2,1,1,109042
Spain,Male,57,1,706,7,0,1,1,0,17941
France,Female,33,0,758,7,0,2,0,0,82996
Spain,Female,28,0,586,2,0,2,1,1,92067
France,Female,73,0,646,6,97259,1,0,1,104720
Germany,Female,33,0,631,4,123247,1,0,0,112688
Spain,Female,22,0,717,6,101060,1,0,1,84700
France,Male,30,0,684,2,0,2,1,0,83474
France,Female,49,0,800,7,108007,1,0,0,47125
Spain,Female,36,0,721,2,0,2,1,1,106978
Spain,Male,29,1,683,0,133703,1,1,0,55583
Germany,Male,31,0,660,9,125190,2,1,1,139874
Germany,Female,24,1,704,7,113034,1,1,0,162503
Spain,Female,41,0,615,9,109013,1,1,0,196500
Spain,Female,39,1,667,2,0,2,1,0,40721
Germany,Male,24,0,682,9,57930,2,0,0,53134
France,Female,29,0,484,4,130114,1,1,0,164018
Germany,Male,27,0,628,5,95826,2,1,0,155997
Germany,Male,44,1,480,10,129609,1,1,0,5473
France,Male,30,0,578,4,169462,1,1,0,112187
France,Male,40,0,512,5,0,2,1,1,146458
Spain,Female,35,0,484,7,133868,1,1,1,27286
France,Female,30,0,510,0,0,2,1,1,130553
Germany,Male,36,0,606,5,190479,2,0,0,179352
Spain,Female,40,0,597,8,101993,1,0,1,94774
Germany,Female,55,1,754,3,161609,1,1,0,8081
Spain,Female,45,0,850,2,122311,1,1,1,19482
France,Male,65,0,510,2,0,2,1,1,48072
Germany,Female,45,0,778,1,162150,2,1,0,174531
France,Male,42,0,636,2,0,2,1,1,55471
France,Female,50,1,804,4,0,1,1,1,8547
France,Male,32,0,514,8,0,2,1,0,95857
France,Female,39,0,730,1,99011,1,1,0,194946
Spain,Female,37,0,525,0,0,1,0,1,131522
Spain,Male,30,0,616,5,0,2,0,1,196109
Germany,Female,34,0,687,7,111388,2,1,0,148565
France,Female,41,1,715,8,56215,2,0,0,92983
France,Female,36,0,512,3,84328,2,1,0,17675
France,Male,40,0,479,1,0,2,0,0,114996
France,Male,32,0,601,8,93013,1,1,0,86957
Spain,Male,29,0,580,9,61710,2,1,0,128078
France,Male,35,0,807,3,174790,1,1,1,600
Spain,Female,32,0,616,6,0,2,1,1,43001
Germany,Male,37,0,721,3,107721,1,1,1,158591
France,Male,57,0,501,10,0,2,1,1,47847
France,Male,35,0,521,6,96424,1,1,0,10488
Spain,Male,30,0,850,2,141040,1,1,1,5978
France,Male,42,0,759,4,105420,1,0,1,121409
Spain,Male,50,1,516,5,0,1,0,1,146146
France,Female,38,1,711,2,129022,2,1,1,14375
Spain,Male,33,0,512,3,176667,1,1,0,94671
France,Male,37,0,550,3,0,1,1,1,179670
Spain,Female,41,1,608,3,89764,1,0,0,199305
France,Male,34,0,618,5,134955,1,1,1,151954
France,Male,45,1,643,5,0,1,1,0,142514
France,Male,45,0,671,2,106377,1,0,1,158265
Germany,Male,33,0,689,2,161815,2,1,0,169382
France,Male,31,0,603,8,0,2,1,1,169915
France,Female,41,0,620,9,0,2,0,0,88852
France,Female,34,0,676,1,63095,1,1,1,40646
Germany,Male,26,0,572,4,118287,2,0,0,60427
Germany,Male,47,1,668,7,106854,1,0,1,157959
France,Male,46,0,695,7,49513,1,1,0,133007
Spain,Female,33,0,730,9,0,2,0,0,176577
France,Male,43,1,807,1,105799,2,1,0,34888
France,Male,54,1,592,8,0,1,1,1,28738
France,Female,31,0,726,9,114722,2,1,1,98179
Spain,Male,30,0,514,7,0,1,0,1,125010
France,Male,42,0,567,2,0,2,1,1,167985
France,Male,33,1,850,10,0,1,1,0,4862
Germany,Male,45,1,671,6,99564,1,1,1,108872
France,Male,37,0,670,4,170558,2,1,0,198253
France,Female,30,0,694,9,0,2,1,1,26960
Germany,Female,39,1,547,6,74596,3,1,1,85747
Germany,Male,50,1,751,2,96888,1,1,0,77206
Germany,Female,29,0,594,3,130830,1,1,0,61049
France,Male,72,0,673,1,0,2,0,1,111981
France,Male,40,0,610,0,0,2,1,0,62233
France,Female,37,0,512,1,0,2,0,1,156105
Germany,Male,20,0,767,3,119714,2,0,1,150135
France,Female,67,0,585,5,113979,2,0,1,93146
Germany,Male,42,1,763,6,100161,1,1,0,33463
France,Female,29,0,712,2,0,1,1,1,144375
Germany,Female,43,1,539,3,116220,3,1,0,55804
France,Female,46,1,668,2,0,3,1,0,89048
France,Male,28,0,703,2,81174,2,0,1,162812
Spain,Male,38,0,662,4,0,2,1,0,136260
Germany,Female,39,0,725,5,116804,1,1,0,124053
France,Male,37,0,703,8,105962,2,0,1,74159
Germany,Male,67,1,659,6,117412,1,1,1,45071
Spain,Male,34,0,523,7,0,2,1,0,62030
France,Female,40,1,635,10,123498,1,1,0,131953
Germany,Male,26,0,772,7,152401,2,1,0,79414
France,Female,26,0,545,1,0,2,1,1,199639
Germany,Male,24,0,634,8,103098,1,1,1,157577
Germany,Male,54,1,739,8,126418,1,1,0,134421
Germany,Female,36,0,771,5,77847,1,0,0,99806
Spain,Female,34,0,587,1,0,2,1,1,97933
France,Female,79,0,681,0,0,2,0,1,170969
Germany,Male,37,0,544,2,79732,1,1,1,57559
Spain,Male,28,0,696,8,0,1,0,0,176713
Spain,Male,41,0,766,0,0,2,0,1,34283
France,Male,34,0,727,10,0,2,1,1,198637
Germany,Female,34,0,671,6,37267,2,0,0,156917
France,Female,30,0,693,6,127992,1,1,1,50457
Germany,Male,38,0,850,3,54901,1,1,1,140076
Germany,Male,42,0,732,9,108748,2,1,1,65323
Spain,Female,48,0,726,6,99906,1,1,0,64323
France,Female,32,0,557,6,184686,2,1,0,14956
France,Female,26,0,682,0,110654,1,0,1,111879
Spain,Male,31,0,738,9,79020,1,1,1,18606
Spain,Female,36,0,531,9,99241,1,1,0,123137
France,Male,34,0,498,2,0,2,1,1,148528
France,Male,36,0,651,7,0,2,1,0,13898
Spain,Female,39,1,549,7,0,1,0,0,81259
Germany,Female,35,0,791,7,52436,1,1,0,161052
Spain,Male,41,0,650,9,0,2,0,1,191600
Germany,Male,34,1,733,3,100338,3,1,0,48559
Germany,Female,34,0,811,1,149297,2,1,1,186340
France,Male,30,0,707,8,0,2,1,0,33159
Germany,Male,28,0,712,4,145605,1,0,1,93884
Spain,Female,37,0,706,7,0,2,1,1,110899
France,Male,62,1,756,3,0,1,1,1,11199
France,Female,53,0,777,10,0,2,1,0,189993
France,Male,35,0,646,6,84027,1,0,1,164256
France,Male,46,1,714,1,0,1,1,0,152168
France,Male,39,0,782,8,0,2,1,1,33950
Spain,Male,29,0,775,10,0,2,1,1,68144
Germany,Male,35,1,479,4,138719,1,1,1,47252
France,Male,42,0,807,7,118275,1,1,1,25886
France,Female,22,0,799,8,174186,2,0,1,192634
France,Male,40,0,675,7,113209,2,1,0,34577
Spain,Male,29,0,602,5,103907,1,1,0,161230
France,Female,32,0,475,8,119023,1,1,0,100816
Spain,Female,26,0,744,5,166298,1,1,1,181694
Spain,Male,34,0,588,10,0,2,1,0,79079
Germany,Male,42,0,703,9,63227,1,0,1,137316
Spain,Female,41,0,747,5,94521,2,1,0,194927
France,Male,27,0,583,7,0,2,1,0,51285
Spain,Female,34,1,750,9,112822,1,0,0,150402
France,Male,38,0,681,3,0,2,1,1,112492
France,Male,25,0,773,2,135903,1,1,0,73656
France,Female,31,0,714,4,125169,1,1,1,106637
Spain,Female,44,1,687,7,0,3,1,0,155854
France,Male,58,0,511,0,149117,1,1,1,162600
France,Male,33,0,627,5,0,2,1,1,103738
France,Female,31,0,694,10,0,2,1,0,160990
Spain,Female,36,0,616,6,132312,1,0,0,15463
France,Male,35,0,687,8,0,2,1,0,10334
France,Female,33,0,712,6,0,2,1,1,190686
France,Male,33,0,553,4,118083,1,0,0,94440
France,Male,31,0,667,1,119267,1,1,1,28258
France,Male,43,1,731,2,0,1,1,1,170035
Germany,Male,35,0,629,7,156847,2,1,0,31824
France,Male,50,1,614,4,137104,1,1,0,127166
Germany,Male,31,0,438,8,78399,1,1,0,44937
France,Female,80,0,652,4,0,2,1,1,188603
Germany,Male,30,0,729,6,63669,1,1,0,145111
France,Male,38,0,642,3,0,2,0,0,171464
Germany,Female,59,0,806,0,135296,1,1,0,182822
Spain,Male,36,0,744,2,153804,1,1,1,87213
Spain,Male,37,0,474,3,0,2,0,0,57175
France,Male,49,1,559,2,147070,1,1,0,120541
Spain,Male,42,0,706,9,0,2,1,1,28714
Spain,Female,22,0,628,3,0,1,1,0,85426
France,Male,24,0,429,4,95742,1,1,0,46171
Spain,Female,57,0,525,2,145965,1,1,1,64448
France,Female,30,0,680,8,141442,1,1,1,16279
France,Male,40,1,749,1,139290,1,1,0,182855
France,Female,31,0,763,4,0,2,0,0,50405
France,Male,30,0,734,3,0,2,1,0,107640
France,Male,35,0,716,4,144429,1,1,0,134133
France,Male,35,0,594,2,0,2,1,0,103481
France,Female,46,1,644,9,95441,1,1,0,108761
Germany,Male,35,0,671,1,144849,1,1,1,179012
Germany,Male,26,0,664,7,116244,2,1,1,95145
France,Male,50,0,656,7,0,2,0,1,72143
Spain,Female,40,0,667,1,146502,1,1,0,19163
Germany,Male,44,0,663,2,117029,2,0,1,144680
Germany,Female,30,1,584,8,112014,1,1,0,177772
Spain,Female,37,0,626,6,108269,1,1,0,5598
France,Male,29,1,485,7,182124,1,1,0,116829
Germany,Female,32,0,659,3,150924,2,0,1,174653
France,Male,33,0,649,2,0,2,1,0,2011
Spain,Female,39,1,805,5,165272,1,1,0,14110
Germany,Female,39,1,716,10,115301,1,1,0,43527
Germany,Female,40,1,642,6,129502,2,0,1,86099
France,Male,31,0,659,4,118342,1,0,0,161574
Spain,Female,47,0,545,5,0,2,1,1,38970
France,Male,22,0,543,8,0,2,0,0,127587
France,Female,25,0,718,7,0,2,1,0,30380
France,Female,43,0,840,7,0,2,1,0,90909
Germany,Female,34,0,630,9,106937,2,1,0,138275
Germany,Male,59,0,643,3,170331,1,1,1,32172
Germany,Female,32,0,654,1,114511,1,1,1,126143
France,Male,39,0,582,5,0,2,1,1,129893
Spain,Male,32,0,659,3,107594,2,1,1,102417
Spain,Male,39,0,762,2,81273,1,1,1,18720
Spain,Female,32,0,568,7,169400,1,1,0,61936
Spain,Male,25,0,670,6,0,2,1,1,78359
France,Female,45,0,613,1,187842,2,1,1,147224
France,Male,30,0,539,0,0,2,1,0,160980
Spain,Female,57,0,850,8,126776,2,1,1,132298
Spain,Male,34,1,522,9,126436,1,1,0,174249
France,Male,41,0,737,1,101961,1,1,1,123547
France,Male,58,0,520,3,0,2,0,1,32790
Spain,Male,28,0,706,3,0,2,0,1,181544
Germany,Female,45,1,643,2,150843,1,0,1,2320
France,Female,50,0,648,9,102536,1,1,1,189543
Germany,Female,29,0,443,9,99028,2,1,0,10940
France,Male,68,0,640,9,0,2,1,1,199493
Spain,Female,33,0,628,3,0,1,1,1,188193
Germany,Female,42,0,540,9,87271,2,1,0,172573
Germany,Female,35,0,460,8,102743,2,1,1,189340
Germany,Male,34,0,636,2,40106,2,0,1,53512
France,Female,29,0,593,2,152265,1,1,0,34004
Spain,Male,42,0,801,4,141948,1,1,1,10598
Germany,Female,75,0,640,1,106308,2,0,1,113429
Germany,Male,31,0,611,0,107885,2,1,1,183488
Germany,Male,31,0,802,1,125014,1,1,1,187658
Germany,Male,35,0,717,7,58469,2,1,1,172459
France,Female,39,0,769,8,0,1,0,1,21016
Germany,Male,45,1,745,10,117232,3,1,1,122381
Spain,Male,35,0,572,4,152390,1,1,0,128124
Spain,Female,30,0,629,2,34014,1,1,0,19571
Spain,Female,39,1,687,2,0,3,0,0,188151
France,Female,50,0,483,9,0,2,1,1,111020
France,Male,36,0,690,7,101583,2,1,0,123775
Germany,Female,30,0,492,10,77169,2,0,1,146700
Germany,Male,28,0,709,8,124696,2,1,0,145251
Germany,Male,44,0,705,3,105935,1,1,0,82464
France,Female,66,0,560,9,0,1,1,1,15928
Spain,Male,46,0,611,6,0,2,1,0,45886
Spain,Male,62,0,730,2,0,2,1,1,186490
Spain,Female,45,0,709,2,0,2,0,1,162923
France,Female,21,0,544,10,161526,2,1,0,9263
Germany,Female,29,0,712,7,147199,1,1,1,84932
Germany,Male,38,0,752,3,183102,1,1,1,71557
Spain,Male,46,1,648,9,127209,2,1,0,77406
Spain,Male,38,1,556,8,0,2,0,0,417
Spain,Female,24,0,594,0,97379,1,1,1,71405
Germany,Female,37,0,645,2,136925,2,0,1,153400
France,Male,33,0,557,3,54504,1,1,1,371
Germany,Male,32,0,547,8,155727,1,1,0,67790
France,Female,39,0,701,9,0,2,0,1,145895
France,Female,66,1,616,1,135842,1,1,0,183841
France,Male,52,0,605,1,63350,1,1,0,108887
Germany,Female,38,0,593,4,129499,1,1,1,154071
Spain,Male,52,0,751,8,0,2,0,1,179292
Spain,Male,36,0,443,6,70438,2,0,1,56937
France,Male,23,0,685,8,0,2,1,1,112239
France,Male,36,0,718,9,0,1,1,0,45910
Spain,Female,49,1,538,9,141434,1,0,0,173779
Spain,Female,37,0,611,4,0,2,1,0,125696
Germany,Male,37,0,668,10,152958,2,1,1,159586
Germany,Female,41,0,537,3,138306,1,1,0,106761
Spain,Male,23,0,709,10,0,2,0,0,129590
France,Male,38,0,850,1,0,2,1,1,80007
Spain,Female,31,0,745,3,124329,1,1,1,140452
Germany,Female,41,1,693,9,181461,3,1,1,187929
Spain,Male,35,0,795,8,0,2,1,0,167155
Spain,Male,26,0,626,8,0,2,0,0,191421
Germany,Female,61,1,487,5,110368,1,0,0,11384
France,Female,39,0,556,9,89588,1,1,1,94898
France,Female,46,0,643,6,0,2,0,0,106782
France,Female,28,0,605,6,0,2,0,0,159509
Germany,Female,60,1,756,3,115925,1,1,0,93524
France,Female,38,0,586,2,0,2,1,0,87168
Germany,Male,40,1,535,7,111756,1,1,0,8128
France,Female,35,0,678,4,0,1,1,0,125518
France,Male,39,0,596,9,0,1,1,0,48964
France,Male,26,0,648,9,162924,1,1,0,98368
Germany,Male,39,0,492,10,124577,2,1,0,148585
France,Male,45,0,702,0,80794,1,1,1,27475
Germany,Female,40,0,486,9,71340,1,1,0,76192
Germany,Male,40,1,568,1,99283,1,0,0,134601
Germany,Male,57,1,619,3,137946,1,1,1,72468
Germany,Male,41,0,724,2,127893,2,0,1,199645
Germany,Female,33,0,548,0,101084,1,1,0,42750
Germany,Female,37,1,545,8,114754,1,1,0,136050
France,Male,33,0,683,8,0,1,0,0,73564
France,Female,51,0,762,3,99287,1,0,1,85579
Germany,Female,30,0,627,4,79871,2,1,0,129827
France,Male,35,0,516,10,104089,2,0,0,119666
France,Female,38,0,800,2,168190,2,1,0,68052
Germany,Female,42,0,464,3,85679,1,1,1,164105
France,Female,35,0,626,3,0,1,0,0,80190
France,Female,31,0,790,9,0,2,1,0,84127
France,Female,34,0,534,7,121552,2,1,1,70179
France,Male,46,0,745,2,122220,1,1,1,118024
Spain,Male,47,1,553,3,116528,1,0,0,145704
France,Female,26,0,748,1,77780,1,0,1,183049
France,Male,37,0,722,2,0,1,0,0,120907
France,Male,40,0,501,4,125832,1,1,1,100434
France,Female,38,1,675,6,68066,1,0,0,138777
Spain,Female,47,0,778,6,127299,2,1,0,124695
Germany,Female,38,0,494,7,174938,1,1,0,40084
France,Male,40,0,850,9,0,2,0,1,119232
Spain,Male,31,0,592,7,110071,1,0,0,43921
Spain,Female,44,0,590,3,139432,1,1,0,62223
France,Female,39,0,758,6,127358,1,0,1,56577
France,Male,36,0,506,5,0,2,1,0,164253
France,Male,33,0,733,3,0,1,1,1,7667
France,Male,38,0,711,3,0,2,1,0,68488
Germany,Male,43,1,514,1,95556,1,0,1,199274
Spain,Male,37,0,637,8,0,1,1,1,186062
Germany,Male,29,0,468,1,111682,2,1,1,195711
France,Male,39,0,539,3,0,2,1,0,36692
Spain,Female,25,0,509,3,108739,2,1,0,106921
France,Female,32,1,662,4,133950,1,1,1,48726
Spain,Male,26,0,818,4,0,2,1,1,167037
France,Male,33,0,608,9,89969,1,1,0,68777
Spain,Female,32,0,850,9,0,2,1,1,18925
Germany,Female,38,1,816,5,130879,3,1,0,71906
France,Male,35,0,536,8,0,2,1,0,64833
France,Male,35,0,753,3,0,2,1,1,184844
Spain,Male,27,0,631,10,134170,1,1,1,176730
France,Male,37,1,703,1,149762,1,1,0,20629
France,Male,26,0,774,2,93845,1,1,0,28415
France,Male,28,0,785,8,0,2,1,0,77231
France,Female,33,0,571,1,0,2,1,0,102751
Germany,Male,46,1,621,6,141078,1,0,0,34581
Germany,Female,31,0,605,1,117993,1,1,1,183599
France,Female,40,0,611,8,100812,2,1,0,147358
France,Male,38,0,569,7,0,1,1,1,108469
France,Male,29,0,658,4,80263,1,1,1,20613
Spain,Male,34,0,788,6,156479,1,0,1,181197
France,Female,23,0,525,5,0,2,1,0,160249
France,Male,37,0,798,8,0,3,0,0,110783
Germany,Male,37,0,486,9,115218,2,1,0,144995
Spain,Male,61,1,615,9,0,2,1,0,150228
France,Female,35,0,730,0,155471,1,1,1,53718
France,Male,37,0,641,7,0,2,1,0,75248
France,Male,39,1,542,3,135097,1,1,1,14353
France,Male,30,0,692,2,0,2,0,1,130487
Germany,Female,55,0,714,9,180075,1,1,1,100128
Spain,Male,29,0,591,1,97541,1,1,1,196356
France,Female,41,0,710,2,156067,1,1,1,9984
France,Female,38,0,639,4,81551,2,0,1,118975
France,Female,47,1,531,6,0,1,0,0,194998
France,Female,38,1,673,2,170062,2,0,0,134901
Germany,Male,36,0,765,8,92311,2,1,1,72925
France,Female,32,0,622,6,169089,2,1,0,101058
France,Male,40,0,806,5,80614,1,1,1,142839
Germany,Male,26,0,757,8,121582,2,1,1,127059
France,Female,58,1,570,8,0,1,0,1,116504
Spain,Male,32,0,555,4,0,2,1,1,54406
France,Male,54,0,692,5,0,2,1,1,88722
France,Male,60,1,774,5,85892,1,1,0,74135
Spain,Male,44,0,638,9,77637,2,1,1,111346
Spain,Female,41,0,543,4,0,1,0,0,194902
France,Male,31,0,584,5,0,2,1,0,31474
Germany,Male,30,0,691,7,116928,1,1,0,21198
Germany,Female,40,0,684,6,137327,1,1,0,186977
France,Male,22,0,733,5,0,2,1,1,117202
Spain,Female,37,0,599,2,0,2,1,1,143739
Germany,Female,31,0,524,10,67239,2,1,1,161811
Germany,Female,38,0,632,6,86570,2,1,0,98091
Spain,Male,34,0,735,5,0,2,0,0,71095
France,Male,34,0,734,6,133598,1,1,1,13107
France,Female,51,1,605,3,136189,1,1,1,67111
Spain,Male,38,0,793,9,0,2,1,0,88225
France,Female,56,1,468,10,0,3,0,1,62257
Germany,Male,37,0,779,7,120093,2,1,0,135926
France,Male,48,1,698,4,101238,2,0,1,177816
France,Male,58,0,707,6,89686,1,0,1,126471
France,Female,35,1,850,1,211774,1,1,0,188574
France,Male,56,0,850,7,131317,1,1,1,119175
Spain,Male,37,0,527,5,93723,2,1,1,139094
Germany,Male,32,0,696,8,101161,1,1,1,115917
France,Male,48,0,661,3,120321,1,0,0,96463
France,Female,31,0,776,2,0,2,1,1,112350
France,Male,43,0,701,2,0,2,1,1,165304
France,Male,26,0,610,8,0,2,1,0,166031
Germany,Female,48,1,572,3,152828,1,1,0,38412
France,Male,30,0,673,1,64098,1,1,1,77783
Spain,Female,57,0,519,2,119035,2,1,1,29872
Spain,Female,26,0,702,4,135220,1,0,1,59748
France,Male,32,0,729,6,93694,1,1,1,79919
Spain,Male,35,0,543,10,59409,1,1,0,76774
France,Female,40,0,550,7,114355,1,1,0,54019
France,Male,59,1,608,1,0,1,1,0,70650
Germany,Male,35,0,639,10,128174,2,1,0,59093
Spain,Male,34,0,686,9,0,2,1,0,127570
Germany,Female,62,1,564,5,114931,3,0,1,18261
